frequency [Hz],input_power [dBm]
1700000000.0,7.075376884422109
1710101010.10101,-4.597989949748744
1720202020.2020202,-6.447236180904522
1730303030.3030303,-7.949748743718593
1740404040.4040403,-6.5628140703517595
1750505050.5050504,-2.633165829145728
1760606060.6060605,-7.371859296482412
1770707070.7070708,-7.371859296482412
1780808080.808081,-7.14070351758794
1790909090.909091,-4.366834170854272
1801010101.010101,-5.060301507537689
1811111111.1111112,-7.71859296482412
1821212121.2121212,-7.603015075376884
1831313131.3131313,-5.060301507537689
1841414141.4141414,-5.407035175879397
1851515151.5151515,-6.678391959798995
1861616161.6161616,-7.256281407035176
1871717171.7171717,-4.829145728643216
1881818181.8181818,-3.442211055276381
1891919191.9191918,-5.638190954773869
1902020202.020202,-7.025125628140703
1912121212.121212,-4.0201005025125625
1922222222.2222223,-3.3266331658291453
1932323232.3232324,-4.482412060301508
1942424242.4242425,-6.909547738693467
1952525252.5252526,-4.597989949748744
1962626262.6262627,-14.884422110552764
1972727272.7272727,-14.884422110552764
1982828282.8282828,-5.984924623115578
1992929292.929293,-4.829145728643216
2003030303.030303,-3.442211055276381
2013131313.131313,-4.9447236180904515
2023232323.2323232,-6.909547738693467
2033333333.3333333,-5.291457286432161
2043434343.4343433,-1.9396984924623109
2053535353.5353537,-3.442211055276381
2063636363.6363635,-5.291457286432161
2073737373.7373738,-4.135678391959798
2083838383.838384,-1.708542713567839
2093939393.939394,-3.2110552763819094
2104040404.040404,-4.597989949748744
2114141414.1414142,-4.71356783919598
2124242424.2424242,-1.5929648241206031
2134343434.3434343,-2.8643216080402016
2144444444.4444444,-6.21608040201005
2154545454.5454545,-5.984924623115578
2164646464.646465,-3.3266331658291453
2174747474.7474747,-2.8643216080402016
2184848484.848485,-5.753768844221106
2194949494.949495,-5.753768844221106
2205050505.050505,-2.517587939698492
2215151515.151515,-2.0552763819095468
2225252525.2525253,-4.0201005025125625
2235353535.353535,-4.9447236180904515
2245454545.4545455,-1.3618090452261313
2255555555.5555553,-1.2462311557788937
2265656565.6565657,-3.7889447236180906
2275757575.757576,-4.0201005025125625
2285858585.858586,-2.748743718592964
2295959595.9595957,-2.1708542713567844
2306060606.060606,-4.9447236180904515
2316161616.1616163,-5.984924623115578
2326262626.262626,-3.9045226130653266
2336363636.3636365,-2.4020100502512562
2346464646.4646463,-5.175879396984925
2356565656.5656567,-6.100502512562814
2366666666.6666665,-4.9447236180904515
2376767676.767677,-3.0954773869346734
2386868686.8686867,-3.557788944723619
2396969696.969697,-4.597989949748744
2407070707.0707073,-4.251256281407034
2417171717.171717,-1.0150753768844218
2427272727.272727,-2.517587939698492
2437373737.3737373,-3.2110552763819094
2447474747.4747477,-3.442211055276381
2457575757.5757575,-1.5929648241206031
2467676767.676768,-2.633165829145728
2477777777.7777777,-4.482412060301508
2487878787.878788,-3.9045226130653266
2497979797.979798,-2.1708542713567844
2508080808.080808,-2.2864321608040203
2518181818.181818,-7.256281407035176
2528282828.2828283,-5.175879396984925
2538383838.3838387,-3.3266331658291453
2548484848.4848485,-3.7889447236180906
2558585858.5858583,-4.829145728643216
2568686868.6868687,-5.522613065326633
2578787878.787879,-2.748743718592964
2588888888.888889,-3.442211055276381
2598989898.989899,-3.7889447236180906
2609090909.090909,-4.597989949748744
2619191919.1919193,-2.9798994974874375
2629292929.292929,-3.7889447236180906
2639393939.3939395,-3.6733668341708547
2649494949.4949493,-5.060301507537689
2659595959.5959597,-4.366834170854272
2669696969.69697,-4.597989949748744
2679797979.79798,-5.407035175879397
2689898989.8989897,-5.869346733668342
2700000000.0,-4.71356783919598
