frequency [Hz],input_power [dBm]
1700000000.0,-6.717961746487294
1720408163.2653062,-5.59029429104716
1740816326.5306122,-7.439990621141968
1761224489.7959185,-7.441685684204006
1781632653.0612245,-7.441685684204006
1802040816.3265307,-7.4375048411118145
1822448979.5918367,-7.441685684204006
1842857142.857143,-5.751802530012299
1863265306.122449,-7.1292160128004385
1883673469.3877552,-2.9543988448892033
1904081632.6530612,-6.525765299603778
1924489795.9183674,-3.9751938560883673
1944897959.1836734,-6.259101082487407
1965306122.4489796,-4.57459072356499
1985714285.7142859,-12.986708199934125
2006122448.9795918,-6.98446833578873
2026530612.2448978,-4.571740973196572
2046938775.510204,-1.2418612097594655
2067346938.7755103,-5.094900138991748
2087755102.0408163,-1.1552553092567888
2108163265.3061223,-6.001755302461417
2128571428.5714285,-0.8258651399734936
2148979591.836735,-3.988780785826085
2169387755.102041,-1.241692985767434
2189795918.367347,-5.852225707861874
2210204081.632653,-2.83919152262364
2230612244.897959,-4.574449882435649
2251020408.163265,1.5648030899922607
2271428571.4285717,-3.130506965930697
2291836734.6938777,-3.0840067886071867
2312244897.9591837,-5.2409702132975395
2332653061.2244897,-3.5713009537560723
2353061224.4897957,-5.939484810464851
2373469387.755102,-0.882487564860865
2393877551.020408,-3.6786574405634376
2414285714.285714,-1.8639875640688282
2434693877.5510206,-3.676485376605793
2455102040.8163266,-1.3964787150404145
2475510204.0816326,-3.415841778471812
2495918367.3469386,-1.8737709939828235
2516326530.6122446,-4.782453748748672
2536734693.877551,-4.0562729527838
2557142857.142857,-4.5790903733434565
2577551020.408163,-2.353513396494062
2597959183.6734695,-3.6275865075968725
2618367346.9387755,-2.9732839584925763
2638775510.2040815,-4.574449882435649
2659183673.469388,-2.315998504272112
2679591836.734694,-4.574449882435649
2700000000.0,-4.574449882435649
