frequency [Hz],input_power [dBm]
1700000000.0,-6.937259828554539
1705025125.6281407,-7.109338710358519
1710050251.2562814,-7.287041217724048
1715075376.884422,-7.4655354990856075
1720100502.5125628,-7.639989702877677
1725125628.1407034,-7.805571977534737
1730150753.7688441,-7.957450471491268
1735175879.3969848,-8.090793333181791
1740201005.0251257,-8.129789217581163
1745226130.6532664,-8.236317333272746
1750251256.281407,-8.280088223925102
1755276381.9095478,-8.337047227085701
1760301507.5376885,-8.293390027058416
1765326633.1658292,-8.28202096455131
1770351758.7939699,-8.289865617681214
1775376884.4221106,-8.285886445803726
1780402010.0502512,-8.288160258305146
1785427135.678392,-8.539530230337254
1790452261.3065326,-8.738147752336392
1795477386.9346733,-8.946315286841497
1800502512.562814,-9.126173855703911
1805527638.1909547,-9.34968962459361
1810552763.8190954,-9.578321471611504
1815577889.447236,-9.808658678005465
1820603015.075377,-10.011710134382374
1825628140.7035177,-10.201800859501184
1830653266.3316584,-10.31640100957281
1835678391.959799,-10.421564837763537
1840703517.5879397,-10.52616021282891
1845728643.2160804,-10.618135928511395
1850753768.844221,-10.636667500397976
1855778894.4723618,-10.623706769139876
1860804020.1005025,-10.63939607539968
1865829145.7286432,-10.643716319152382
1870854271.3567839,-10.658723481661761
1875879396.9849246,-10.657018122285695
1880904522.6130652,-10.611655562882344
1885929648.2412062,-10.606539484754146
1890954773.8693466,-10.624275222265231
1895979899.4974875,-10.623820459764946
1901005025.1256282,-10.651788353532428
1906030150.753769,-10.63700857227319
1911055276.3819096,-10.611428181632201
1916080402.0100503,-10.546283453466486
1921105527.638191,-10.446122012778886
1926130653.2663317,-10.358011778348814
1931155778.8944724,-10.305373018940916
1936180904.522613,-10.255121762659508
1941206030.1507537,-10.16723890947958
1946231155.7788944,-10.025694081266115
1951256281.407035,-9.879829009299948
1956281407.0351758,-9.88323972805208
1961306532.6633167,-9.83469383114674
1966331658.2914572,-9.781827690488697
1971356783.919598,-9.683485299802232
1976381909.5477388,-9.580822665363067
1981407035.1758795,-9.540121421587628
1986432160.8040202,-9.466563587166656
1991457286.4321609,-9.450447941062833
1996482412.0603015,-9.43433229495901
2001507537.6884422,-9.418216648855188
2006532663.316583,-9.402101002751365
2011557788.9447236,-9.335478296459726
2016582914.5728643,-9.331158052707025
2021608040.201005,-9.35105391209446
2026633165.8291457,-9.340821755838066
2031658291.4572864,-9.315013983946937
2036683417.0854273,-9.279769890174908
2041708542.7135677,-9.345824143341193
2046733668.3417087,-9.265217490165814
2051758793.9698493,-9.163009618226933
2056783919.59799,-9.067395802542173
2061809045.2261307,-9.016576093135411
2066834170.8542714,-8.96484685872808
2071859296.482412,-8.874576502421661
2076884422.1105528,-8.809431774255945
2081909547.7386935,-8.70335842106465
2086934673.3668342,-8.729507264830993
2091959798.9949749,-8.797380567998411
2096984924.6231155,-8.860024102412567
2102010050.2512562,-8.885604493053552
2107035175.879397,-8.873780668046162
2112060301.5075378,-8.898906296186867
2117085427.1356783,-8.896518793060373
